Название	Тикер	Цена	P/E	Рыночная капитализация/Активы, %	Активы/Задолженности, раз	Диведендная доходность %	Сфера деятельности	P/E < 15	Рыночная капитализация/Активы <150%	Активы/Задолженности > 2раз	Сумма
ANSYS INC	ANSS	242,19	46,5624106	428,3409603696056	7,952169190089055	0	Technology Services	0	0	1	1
ANTHEM INC	ANTM	257,09	13,97827313	83,7559806592385	3,737177322074789	1,4780816	Health Services	1	1	1	3
AON PLC	AON	208	33,36425236	163,8124672674715	3,4315556074221027	0,84615386	Finance	0	0	1	1
SMITH A O CORP	AOS	39,55	18,08021631	209,4889068999346	9,136540185240515	2,4273074	Producer Manufacturing	0	0	1	1
APACHE CORP	APA	24,92	None	51,752455514441934	2,1138220873219704	4,012841	Energy Minerals	0	1	1	2
AIR PRODUCTS & CHEMICALS INC	APD	219,61	26,34462327	246,6114493476358	5,302930541313616	2,4406903	Process Industries	0	0	1	1
AMPHENOL CORP	APH	91,68	24,69129217	252,69196689935742	2,841622658364205	1,0907505	Electronic Technology	0	0	1	1
APTIV PLC	APTV	78,11	20,27455671	148,157706218887	2,811573010236056	1,1266164	Producer Manufacturing	0	1	1	2
ALEXANDRIA REAL ESTATE EQUITIES	ARE	151,88	50,06149265	103,20109243341523	2,608845830791114	2,7126677	Finance	0	1	1	2
ARCONIC INC	ARNC	29,35	29,38104449	72,28819177380818	2,8328767123287673	0,2725724	Non-Energy Minerals	0	1	1	2
ACTIVISION BLIZZARD INC	ATVI	58,13	29,84700404	225,0388198538675	6,73168249660787	0,70531565	Consumer Durables	0	0	1	1
AVALONBAY COMMUNITIES INC	AVB	200,59	36,84378604	152,74840279438615	2,5711541238803255	3,1706467	Finance	0	0	1	1
BROADCOM INC	AVGO	272,62	42,54939115	161,35082538929964	2,057838892615403	4,7685423	Electronic Technology	0	0	1	1
AVERY DENNISON CORP	AVY	114,49	32,23087263	173,7499639265413	2,639099913453216	2,026378	Process Industries	0	0	1	1
AMERICAN WATER WORKS COMPANY INC	AWK	123,66	37,28190465	98,55727078740851	2,375824866450194	1,6173378	Utilities	0	1	1	2
AMERICAN EXPRESS CO	AXP	109,93	14,12384816	44,789985493215546	3,0854115780139084	1,564632	Finance	1	1	1	3
AUTOZONE INC	AZO	1032,51	15,6111943	191,8042031719176	1,544623044024068	0	Retail Trade	0	0	0	0
BOEING CO	BA	275,11	None	115,94293486997194	4,683338006448899	2,987896	Electronic Technology	0	1	1	2
BANK OF AMERICA CORPORATION	BAC	28,5	10,58349077	10,177169770795619	5,551978140289191	2,5263157	Finance	1	1	1	3
BAXTER INTERNATIONAL INC	BAX	83,47	28,38520614	242,90987984496124	3,051661158462341	1,054271	Health Technology	0	0	1	1
BEST BUY CO INC	BBY	75,65	13,49172165	125,56269674812393	3,8316539690341607	2,9081295	Retail Trade	1	1	1	3
BECTON DICKINSON & CO	BDX	237,82	89,12923721	124,13451428241453	2,6172292191435766	1,328736	Health Technology	0	1	1	2
FRANKLIN RESOURCES INC	BEN	21,76	9,02279611	72,07468757082484	13,462981243830207	4,9632354	Finance	1	1	1	3
BROWN-FORMAN CORP	BF,B	61,41	35,14394962	528,4444959481361	2,2176517571884986	1,1349944	Consumer Non-Durables	0	0	1	1
BRIGHTHOUSE FINL INC	BHF	35,84	None	1,645992842066624	52,42542955326461	0	Finance	0	1	1	2
BIOGEN INC	BIIB	308,39	9,85316221	197,1029068490837	4,228206362267315	0	Health Technology	1	0	1	2
BANK OF NEW YORK MELLON CORP	BK	39,9	9,04134384	9,4197898078153	5,9619940615721205	3,1077693	Finance	1	1	1	3
BOOKING HOLDINGS INC	BKNG	1695,66	14,7452833	331,61870975609753	2,3134796238244513	0	Consumer Services	1	0	1	2
BLACKROCK INC	BLK	463,01	16,71849252	43,85049855374927	23,950891552177726	3,1360013	Finance	0	1	1	2
BALL CORP	BLL	70,46	43,1740512	132,22330403225806	2,1549155908639523	0,85154706	Process Industries	0	1	1	2
BRISTOL-MYERS SQUIBB CO	BMY	59,06	27,1212673	102,60461475712614	2,7334763767933024	3,047748	Health Technology	0	1	1	2
BROADRIDGE FINANCIAL SOLUTION INC	BR	104,36	30,1492203	273,2482114674087	2,0863151884278643	2,0697587	Commercial Services	0	0	1	1
BERKSHIRE HATHAWAY INC	BRK,A	309096	6,27182265	61,385843397996155	7,139804943639713	0	Finance	1	1	1	3
BERKSHIRE HATHAWAY INC	BRK,B	206,34	6,24772483	61,468062964625204	7,139804943639713	0	Finance	1	1	1	3
BOSTON SCIENTIFIC CORP	BSX	37,39	11,39765555	170,79639456895143	2,952854796638006	0	Health Technology	1	0	1	2
BORG WARNER INC	BWA	31,6	8,47838137	67,228983714698	4,744254278728606	2,1518986	Producer Manufacturing	1	1	1	3
BOSTON PROPERTIES INC	BXP	128,94	38,86363636	93,2670359581121	1,7395273204670667	3,0401738	Finance	0	1	0	1
CITIGROUP INC	C	63,46	8,01278066	6,830624837445587	4,2224113677161	3,2146235	Finance	1	1	1	3
CONAGRA BRANDS INC	CAG	26,69	16,02260299	57,76595707032535	2,093191631923764	3,1847134	Consumer Non-Durables	0	1	1	2
CARDINAL HEALTH INC	CAH	52,12	None	37,05419346035768	4,862796208530805	3,6914814	Distribution Services	0	1	1	2
CATERPILLAR INC	CAT	124,24	11,50271541	87,1124264464074	2,0488626570212323	3,3161623	Producer Manufacturing	1	1	1	3
CHUBB LIMITED	CB	145,03	15,46887881	37,14636129148935	11,667084267440327	2,0685375	Finance	0	1	1	2
CBRE GROUP INC	CBRE	56,14	15,01247942	116,0261151374596	4,078009204300577	0	Finance	0	1	1	2
CROWN CASTLE INTERNATIONAL CORP	CCI	143,29	75,26499975	160,34303534303533	1,6079562074296938	3,3498504	Finance	0	0	0	0
CARNIVAL CORP	CCL	33,46	7,36416185	50,769328063828844	3,9174056685793777	5,9772863	Consumer Services	1	1	1	3
CADENCE DESIGN SYSTEMS INC	CDNS	66,14	18,63783049	551,953220889276	6,511512210449143	0	Technology Services	0	0	1	1
CERNER CORP	CERN	69,27	42,43472981	317,50140192916973	5,804185283705333	1,0394111	Technology Services	0	0	1	1
CF INDUSTRIES HOLDINGS INC	CF	36,86	16,27917455	63,79554091273019	2,9457547169811322	3,2555618	Process Industries	0	1	1	2
CITIZENS FINANCIAL GROUP INC	CFG	31,69	8,50461409	8,145884150705115	11,054713468953597	4,5124645	Finance	1	1	1	3
CHURCH & DWIGHT	CHD	69,52	29,41104244	256,5308258479286	2,9941083876770858	1,3808976	Consumer Non-Durables	0	0	1	1
CH ROBINSON WORLDWIDE INC	CHRW	68,9	16,70771659	200,2587275320724	2,9825771163909804	2,9608128	Transportation	0	0	1	1
CHARTER COMMUNICATIONS INC	CHTR	493,17	67,63532385	68,74032587872149	1,8752567438039163	0	Consumer Services	0	1	0	1
CIGNA HOLDING COMPANY	CI	182,94	13,54936249	43,399320609812015	4,128292759871707	0,02186509	Health Services	1	1	1	3
CINCINNATI FINANCIAL CORP	CINF	93,24	8,07254212	59,17008363239194	28,967231638418077	2,5740027	Finance	1	1	1	3
COLGATE-PALMOLIVE CO	CL	67,57	25,51558579	384,291453372356	1,7722503831191796	2,5455084	Consumer Non-Durables	0	0	0	0
CLOROX CO	CLX	159,42	26,51348463	365,3314160102583	1,7319162436548223	2,659641	Consumer Non-Durables	0	0	0	0
COMERICA INC	CMA	52,64	6,7750643	10,097513014683928	9,56091864538731	5,1671734	Finance	1	1	1	3
COMCAST CORP	CMCSA	40,43	14,49403291	69,88207907742185	2,403873004864071	2,275538	Consumer Services	1	1	1	3
CME GROUP INC	CME	198,82	35,59898477	94,72797486681566	20,09385018166275	1,7100894	Finance	0	1	1	2
CHIPOTLE MEXICAN GRILL	CMG	773,58	61,05010545	362,95868045927836	2,0735643919234485	0	Consumer Services	0	0	1	1
CUMMINS INC	CMI	151,29	10,71396367	115,18644322845417	6,881799163179917	3,466191	Producer Manufacturing	1	1	1	3
CMS ENERGY CORP	CMS	60,42	26,24389021	63,91232417930469	2,0188821184081847	2,6977823	Utilities	0	1	1	2
CENTENE CORPORATION	CNC	53,02	16,73557662	75,89035561301654	2,825418705630988	0	Health Services	0	1	1	2
CENTERPOINT ENERGY INC	CNP	23,02	18,09602277	31,861578085815857	2,3912355848434927	5,0390964	Utilities	0	1	1	2
CAPITAL ONE FINANCIAL CORP	COF	88,26	8,078749	10,335372274666017	6,794510295371869	1,8128257	Finance	1	1	1	3
CABOT OIL & GAS CORP	COG	13,93	8,32614323	121,92242565501891	3,6261695489661783	2,8715003	Energy Minerals	1	1	1	3
COOPER COS INC	COO	324,57	35,17153449	254,33314511116424	3,435634890215189	0,018486	Health Technology	0	0	1	1
CONOCOPHILLIPS	COP	48,42	7,36958969	74,23818617579488	4,455297908637139	3,4696407	Energy Minerals	1	1	1	3
COSTCO WHOLESALE CORP	COST	281,14	34,74627503	241,48051587563918	5,238439600733347	0,9248061	Retail Trade	0	0	1	1
COTY INC	COTY	9,23	None	40,4350334948073	2,174107422388639	5,4171185	Consumer Non-Durables	0	1	1	2
CAMPBELL SOUP CO	CPB	45,12	52,0501139	103,81902059496568	1,5244186046511627	3,1028368	Consumer Non-Durables	0	1	0	1
SALESFORCE,COM INC	CRM	170,4	836,49173955	274,1806044334797	9,394342194955692	0	Technology Services	0	0	1	1
CISCO SYSTEMS INC	CSCO	39,93	15,66755361	187,26731072921504	5,2970534825142055	3,606311	Technology Services	0	0	1	1
CSX CORP	CSX	70,45	17,33218217	140,21255034592733	2,3159995234691446	1,4762243	Transportation	0	1	1	2
CINTAS CORP	CTAS	266,74	31,58912458	350,8730733833232	2,7074134373550796	0,95598716	Consumer Services	0	0	1	1
CENTURYLINK INC	CTL	12,07	None	20,325408699144294	1,8660863549893354	8,285005	Communications	0	1	0	1
COGNIZANT TECHNOLOGY SOLUTIONS CORP	CTSH	60,93	18,92959115	206,29753400394964	9,470485096434833	1,4442803	Technology Services	0	0	1	1
CITRIX SYSTEMS INC	CTXS	103,39	20,28366	288,2389363593736	4,391855367530143	1,3540962	Technology Services	0	0	1	1
CVS HEALTH CORPORATION	CVS	59,18	11,66879733	34,41027793877679	2,5201006718950136	3,3795202	Retail Trade	1	1	1	3
CHEVRON CORPORATION	CVX	93,34	63,26791235	73,88204516737706	7,69421219780932	5,528177	Energy Minerals	0	1	1	2
CONCHO RESOURCES INC	CXO	68,02	None	52,48861990506454	6,390323389320632	1,1761247	Energy Minerals	0	1	1	2
DOMINION ENERGY INC	D	78,18	51,84334737	63,31755878818668	2,4765672255691853	4,8094144	Utilities	0	1	1	2
DELTA AIR LINES INC	DAL	46,13	6,58909429	45,756425060435134	3,7399014778325124	3,4901364	Transportation	1	1	1	3
DEERE & CO	DE	156,48	15,64250726	68,58879135628855	1,5868537339814406	1,9427403	Producer Manufacturing	0	1	0	1
DISCOVER FINANCIAL SERVICES	DFS	65,58	7,29328528	17,77422231548025	4,450332671880472	2,683745	Finance	1	1	1	3
DOLLAR GENERAL CORP	DG	150,3	24,67292645	170,734567182399	1,9673333408236597	0,85163003	Retail Trade	0	0	0	0
QUEST DIAGNOSTICS INC	DGX	106,06	17,68361672	110,20974305068908	2,371307237813885	2,1120121	Health Services	0	1	1	2
DR HORTON INC	DHI	53,27	11,90258038	119,56337587070924	4,272003978120338	1,3140604	Consumer Durables	1	1	1	3
DANAHER CORP	DHR	144,58	42,90173883	162,14457336795442	2,755997513983841	0,49799418	Health Technology	0	0	1	1
WALT DISNEY COMPANY (THE)	DIS	117,65	18,86406495	105,7039711766228	4,1798855954238165	1,4959626	Consumer Services	0	1	1	2
DISCOVERY INC	DISCA	25,7	8,64037546	40,01962709352305	1,9852292120284822	0	Consumer Services	1	1	0	2
DISCOVERY INC	DISCK	25,1	8,33216587	39,08531673336297	1,9852292120284822	0	Consumer Services	1	1	0	2
DISH NETWORK CORPORATION	DISH	33,52	12,91666667	52,14789595906463	2,354018960531567	0	Consumer Services	1	1	1	3
DIGITAL REALTY TRUST INC	DLR	120,11	52,41235534	111,39090548774844	2,1327809473143784	3,7299142	Finance	0	1	1	2
DOLLAR TREE INC	DLTR	83,03	None	99,53371657523769	1,9529617758784426	0	Retail Trade	0	1	0	1
DOVER CORP	DOV	102,74	22,82071298	171,03982996898196	2,6729422421572777	1,9077283	Industrial Services	0	0	1	1
DUKE REALTY CORPORATION	DRE	32,47	28,83649672	148,20269715964326	2,8431832478128025	2,89498	Finance	0	1	1	2
DARDEN RESTAURANTS INC	DRI	97,5	19,78100737	121,60104488488817	1,7050279134071857	3,6102564	Consumer Services	0	1	0	1
DTE ENERGY CO	DTE	111,67	18,72223632	51,25562879041116	2,3783077796706418	3,6267579	Utilities	0	1	1	2
DUKE ENERGY CORP	DUK	91,7	18,67125307	41,09769369986304	2,600149441185355	4,1221375	Utilities	0	1	1	2
DAVITA INC	DVA	77,62	14,77262133	53,928032689583375	1,6175749238587946	0	Health Services	1	1	0	2
DEVON ENERGY CORP	DVN	16,24	None	45,33525581395349	3,0114160263446763	2,7093596	Energy Minerals	0	1	1	2
DXC TECHNOLOGY COMPANY	DXC	24,11	None	20,666959390519953	2,821370698694119	3,4840314	Technology Services	0	1	1	2
ELECTRONIC ARTS INC	EA	101,37	10,81246053	263,09697500223996	9,01534733441034	0	Consumer Durables	1	0	1	2
EBAY INC	EBAY	34,64	16,8049494	151,73459799713876	2,1579197340299214	1,8475751	Consumer Services	0	0	1	1
ECOLAB INC	ECL	180,45	34,41368445	249,23753204498516	3,078356172466184	1,0418398	Process Industries	0	0	1	1
CONSOLIDATED EDISON INC	ED	78,82	20,40621091	45,297173677232735	2,576822396734549	3,8822634	Utilities	0	1	1	2
EQUIFAX INC	EFX	142,04	None	217,73121051966115	1,86238726540608	1,0982822	Commercial Services	0	0	0	0
EDISON INTERNATIONAL	EIX	67,19	18,51315027	37,42412660370911	3,2856340903291654	3,7952075	Utilities	0	1	1	2
ESTEE LAUDER COMPANIES INC	EL	183,6	35,98531212	368,0187780007805	2,278871807902427	1,0457516	Consumer Non-Durables	0	0	1	1
EASTMAN CHEMICAL CO	EMN	61,51	11,42878048	52,254681596701644	2,677818668450987	4,291985	Process Industries	1	1	1	3
EMERSON ELECTRIC CO	EMR	64,11	18,3837807	185,89226344723	3,237342743172752	3,1196382	Producer Manufacturing	0	0	1	1
EOG RESOURCES INC	EOG	63,26	12,73750133	99,13206528672302	6,213523179322248	2,3711667	Energy Minerals	1	1	1	3
EQUINIX INC	EQIX	572,8	99,60490781	213,02144760315977	1,8036459128656297	1,8575419	Finance	0	0	0	0
EQUITY RESIDENTIAL	EQR	75,1	30,28875849	137,84403919959644	2,2600462837935207	3,0226367	Finance	0	1	1	2
EQT CORPORATION	EQT	5,87	None	7,978129085262249	3,4954891284147926	2,0442932	Energy Minerals	0	1	1	2
EVERSOURCE ENERGY	ES	86,46	31,85085035	68,06836377324484	2,6309110293579034	2,6254916	Utilities	0	1	1	2
ESSEX PROPERTY TRUST INC	ESS	283,36	44,54470385	154,52163862545115	2,158722464422992	2,9326656	Finance	0	0	1	1
E TRADE FINANCIAL CORPORATION	ETFC	45,78	12,00177611	16,486047674872996	37,33495440729483	1,2232416	Finance	1	1	1	3
EATON CORPORATION PLC	ETN	90,72	17,74816789	114,32296296296296	3,738887622521085	3,218695	Producer Manufacturing	0	1	1	2
ENTERGY CORP	ETR	116,91	19,23750677	45,14369208964705	2,570872173497088	3,1819348	Utilities	0	1	1	2
EVERGY INC	EVRG	65,35	25,7880759	57,48706378461835	2,6037688442211055	3,0910482	Utilities	0	1	1	2
EDWARDS LIFESCIENCES CORP	EW	204,84	43,16960937	658,4898321542516	9,55819092516205	0	Health Technology	0	0	1	1
EXPEDITORS INTERN OF WASHINGTON INC	EXPD	70,42	20,39353354	316,4574350992273	9,644000469730466	1,4200512	Transportation	0	0	1	1
EXPEDIA GROUP INC	EXPE	98,62	26,36696316	64,4646981509152	3,8318124888173197	1,3790306	Consumer Services	0	1	1	2
EXTRA SPACE STORAGE INC	EXR	100,36	31,05415741	152,95503234327316	1,6019912855674887	3,5870864	Finance	0	0	0	0
FORD MOTOR CO	F	6,96	237,88395904	10,674196730061848	1,6496640526796027	8,62069	Consumer Durables	0	1	0	1
FASTENAL	FAST	34,22	25,43209877	517,1192326113845	6,433965458855401	2,9222677	Distribution Services	0	0	1	1
FACEBOOK INC	FB	192,47	29,48443036	411,38124737583973	12,044067184395882	0	Technology Services	0	0	1	1
FORTUNE BRANDS HOME & SECURITY INC	FBHS	61,75	20,37812377	137,38449922909416	2,6689716612930594	1,5546559	Producer Manufacturing	0	1	1	2
FREEPORT-MCMORAN INC	FCX	9,96	None	35,411462177460855	4,05092316855271	2,008032	Non-Energy Minerals	0	1	1	2
FEDEX CORP	FDX	141,17	584,49873631	52,6948698144495	2,105969834723184	1,8417511	Transportation	0	1	1	2
FIRSTENERGY CORP	FE	44,53	29,21327014	56,92062698281365	1,9886700202153167	3,5032563	Utilities	0	1	0	1
F5 NETWORK INC	FFIV	119,95	18,74837784	188,2003168737872	11,32143159715223	0	Electronic Technology	0	0	1	1
FIDELITY NATL INFORMATION SERVICES	FIS	139,72	144,43057722	102,75220132210103	4,03165439938423	1,002004	Technology Services	0	1	1	2
FISERV INC	FISV	109,36	59,99668343	95,89150904706018	3,4245649677590317	0	Technology Services	0	1	1	2
FIFTH THIRD BANCORP	FITB	24,4	7,49367842	10,214147807450006	10,428483467766764	4,42623	Finance	1	1	1	3
FOOT LOCKER INC	FL	36,25	7,34804694	57,44023715714503	1,9888487040385774	4,413793	Retail Trade	1	1	0	2
FLIR SYSTEMS INC	FLIR	42,47	35,39558601	181,59054845817155	4,381098199549259	1,6011301	Electronic Technology	0	0	1	1
FLUOR CORP	FLR	9,32	None	16,571159734881068	4,01946535657001	4,291846	Industrial Services	0	1	1	2
FLOWSERVE CORP	FLS	40,19	20,91073739	106,93687040642388	3,143782270845049	1,990545	Producer Manufacturing	0	1	1	2
FLEETCOR TECHNOLOGIES INC	FLT	265,79	26,76506145	185,81152309625153	2,423686339599566	0	Commercial Services	0	0	1	1
FMC CORP	FMC	93,1	25,22945804	122,22752134674406	3,0295507548790965	1,8904405	Process Industries	0	1	1	2
FOX CORPORATION	FOX	30,45	10,82431016	90,35728533007334	2,792190060076461	1,5106732	Consumer Services	1	1	1	3
FEDERAL REALTY INVESTMENT TRUST	FRT	116,34	25,39586003	130,17278018870368	1,9401601926057395	3,6101081	Finance	0	1	0	1
TECHNIPFMC PLC	FTI	14,84	None	28,292115924229392	5,239710416945981	3,504043	Industrial Services	0	1	1	2
FORTIVE CORP	FTV	69,16	35,65486456	133,25167727507312	2,6655763263684027	0,4048583	Electronic Technology	0	1	1	2
GENERAL DYNAMICS CORP	GD	159,69	13,87390397	94,69612749534203	3,6358966723740043	2,5549502	Electronic Technology	1	1	1	3
GENERAL ELECTRIC CO	GE	10,88	140,97693351	34,694334853515265	2,91448683594913	0,36764705	Electronic Technology	0	1	1	2
GILEAD SCIENCES INC	GILD	69,36	17,25931732	142,22024502247393	2,434118018800853	3,9215686	Health Technology	0	1	1	2
GENERAL MILLS INC	GIS	49	14,42587105	97,31920308415756	2,1366356779512365	4	Consumer Non-Durables	1	1	1	3
CORNING INC	GLW	23,86	23,51732237	63,04991376565853	3,501938923897237	3,688181	Electronic Technology	0	1	1	2
GENERAL MOTORS CO	GM	30,5	6,7153572	19,11290711595048	2,180648924674629	4,9836063	Consumer Durables	1	1	1	3
ALPHABET INC	GOOG	1339,33	26,80030662	333,64009296072254	17,279952401828773	0	Technology Services	0	0	1	1
GENUINE PARTS CO	GPC	87,24	20,45529606	86,60007487558234	3,2384660170259267	3,6221917	Distribution Services	0	1	1	2
GLOBAL PAYMENTS INC	GPN	183,97	78,0188519	123,92576085941414	4,4148877651875855	0,42398217	Technology Services	0	1	1	2
GAP INC	GPS	14,33	6,65572233	37,89045665108372	1,8023745691306012	6,7690163	Retail Trade	1	1	0	2
GARMIN LTD	GRMN	88,39	17,89178357	273,31560393001297	96,356234375	2,5794773	Electronic Technology	0	0	1	1
GOLDMAN SACHS GROUP INC	GS	200,77	9,79247699	6,989225051562588	2,4232561998799316	2,4904118	Finance	1	1	1	3
GOODYEAR TIRE & RUBBER CO	GT	9,685	None	13,112312132673843	2,631699846860643	6,6081567	Consumer Durables	0	1	1	2
GRAINGER W W INC	GWW	277,54	18,24471484	247,9881139050791	2,457037643207856	2,0753765	Distribution Services	0	0	1	1
HALLIBURTON CO	HAL	16,96	None	58,80636229656776	2,206120142571503	4,245283	Industrial Services	0	1	1	2
HASBRO INC	HAS	77,25	19,88296782	119,36306775758874	2,1130031746486226	3,5210357	Consumer Durables	0	1	1	2
HUNTINGTON BANCSHARES INC	HBAN	12,27	9,75667562	11,472689767160235	8,75166599759133	4,8899755	Finance	1	1	1	3
HANESBRANDS INC	HBI	13,24	7,75492975	65,25600456677509	1,8873796324812648	4,5317225	Consumer Non-Durables	1	1	0	2
HCA HEALTHCARE INC	HCA	127,01	12,65626553	95,39618551644547	1,2667060245705772	1,3542241	Health Services	1	1	0	2
HOME DEPOT INC	HD	217,84	21,92252539	463,7879756421266	1,3707895229686706	2,7543151	Retail Trade	0	0	0	0
HESS CORPORATION	HES	56,18	None	78,72086447525479	2,7460917801311147	1,7799928	Energy Minerals	0	1	1	2
HOLLYFRONTIER CORPORATION	HFC	33,68	7,07106022	44,81561181112026	4,094244927563059	4,1567698	Energy Minerals	1	1	1	3
HARTFORD FINANCIAL SERVICES GRP INC	HIG	49,95	9,18475571	24,978276964308147	14,189146365616955	2,6026025	Finance	1	1	1	3
HUNTINGTON INGALLS INDUSTRIES	HII	205,53	16,22642363	110,98837837837839	5,082828282828283	2,0045736	Electronic Technology	0	1	1	2
HILTON WORLDWIDE HOLDINGS INC	HLT	97,2	31,45473643	180,30317309620912	1,6323256575357417	0,617284	Consumer Services	0	0	0	0
HARLEY DAVIDSON	HOG	30,47	11,69474356	44,22482373224037	1,4021859546454034	4,9885135	Consumer Durables	1	1	0	2
HOLOGIC INC	HOLX	47,12	52,23439211	196,56189483356835	1,9807010386920638	0	Health Technology	0	0	0	0
HONEYWELL INTERNATIONAL INC	HON	162,17	18,95703626	196,93986264251265	3,5122403782845515	2,2198927	Producer Manufacturing	0	0	1	1
HELMERICH & PAYNE INC	HP	36,89	None	68,75806803377894	10,989681024184218	7,6985636	Industrial Services	0	1	1	2
HEWLETT PACKARD ENTERPRISE CO	HPE	12,79	16,21551946	31,927966140957086	3,748408104196816	3,752932	Electronic Technology	0	1	1	2
HP INCORPORATION	HPQ	20,79	10,87961812	95,43789518574678	6,520288362512873	3,3900914	Electronic Technology	1	1	1	3
